time(s);category;event;details
54940;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#78
54950;COMM;STATE_CHANGE;Receiver->Re/Tr
54960;COMM;STATE_CHANGE;Re/Tr->Receiver
54960;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#79
54970;COMM;STATE_CHANGE;Receiver->Re/Tr
54980;COMM;STATE_CHANGE;Re/Tr->Receiver
54980;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#80
54990;COMM;STATE_CHANGE;Receiver->Re/Tr
55590;COMM;STATE_CHANGE;Re/Tr->Receiver
55590;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#81
55600;COMM;STATE_CHANGE;Receiver->Re/Tr
55610;COMM;STATE_CHANGE;Re/Tr->Receiver
55610;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#82
55620;COMM;STATE_CHANGE;Receiver->Re/Tr
55630;COMM;STATE_CHANGE;Re/Tr->Receiver
55630;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#83
55640;COMM;STATE_CHANGE;Receiver->Re/Tr
55650;COMM;STATE_CHANGE;Re/Tr->Receiver
55650;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#84
55660;COMM;STATE_CHANGE;Receiver->Re/Tr
55670;COMM;STATE_CHANGE;Re/Tr->Receiver
55670;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#85
55680;COMM;STATE_CHANGE;Receiver->Re/Tr
55690;COMM;STATE_CHANGE;Re/Tr->Receiver
55690;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#86
55700;COMM;STATE_CHANGE;Receiver->Re/Tr
55710;COMM;STATE_CHANGE;Re/Tr->Receiver
55710;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#87
55720;COMM;STATE_CHANGE;Receiver->Re/Tr
55730;COMM;STATE_CHANGE;Re/Tr->Receiver
55730;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#88
55740;COMM;STATE_CHANGE;Receiver->Re/Tr
55750;COMM;STATE_CHANGE;Re/Tr->Receiver
55750;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#89
55760;COMM;STATE_CHANGE;Receiver->Re/Tr
55770;COMM;STATE_CHANGE;Re/Tr->Receiver
60540;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#90
60550;COMM;STATE_CHANGE;Receiver->Re/Tr
60560;COMM;STATE_CHANGE;Re/Tr->Receiver
60560;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#91
60570;COMM;STATE_CHANGE;Receiver->Re/Tr
60580;COMM;STATE_CHANGE;Re/Tr->Receiver
